,Parti,Nama Calon,Undi,Majoriti,Tahun,Negeri,Kawasan DUN,Kod Parlimen,Keputusan,Jumlah Undi,Bahagian Undi(%),Jumlah Layak Mengundi,Pengundi Melayu(%),Pengundi Cina(%),Pengundi India(%),Pengundi Lain-Lain(%),Pengundi Melayu Islam Bumiputera(%),Pengundi Melayu Bukan Islam Bumiputera(%),Pengundi Sabah Bumiputera(%)
103,PAS,YAAKOB HUSSEIN,6874,0,2004,Kedah,BANDAR BAHARU,018-036,Kalah,17626,38.99920572,22877,75,18,7,0,0,0,0
104,UMNO,DATUK NOOR ZAHAIDI OMAR,6638,714,2004,Kelantan,PENGKALAN KUBOR,019-001,Menang,12562,52.84190416,17750,91,1,1,7,0,0,0
105,PAS,WAN HUSSIN WAN AHMAD,5924,0,2004,Kelantan,PENGKALAN KUBOR,019-001,Kalah,12562,47.15809584,17750,91,1,1,7,0,0,0
106,PAS,MOHAMED ZAKI IBRAHIM,6911,691,2004,Kelantan,KELABORAN,019-002,Menang,13131,52.63117813,17052,87,3,1,8,0,0,0
107,UMNO,DATUK WAN JOHANI WAN HUSSEIN,6220,0,2004,Kelantan,KELABORAN,019-002,Kalah,13131,47.36882187,17052,87,3,1,8,0,0,0
108,PAS,AHMAD YAKOB,8855,2271,2004,Kelantan,PASIR PEKAN,019-003,Menang,15439,57.35475096,19550,99,1,0,0,0,0,0
109,UMNO,MOHD NOOR YAACOB,6584,0,2004,Kelantan,PASIR PEKAN,019-003,Kalah,15439,42.64524904,19550,99,1,0,0,0,0,0
110,UMNO,MOHD ROSDI AB AZIZ,7280,1406,2004,Kelantan,WAKAF BHARU,019-004,Menang,13154,55.34438194,16458,89,9,0,2,0,0,0
111,PAS,RAMLI ABU BAKAR,5874,0,2004,Kelantan,WAKAF BHARU,019-004,Kalah,13154,44.65561806,16458,89,9,0,2,0,0,0
112,PAS,HUSAM MUSA,6916,2882,2004,Kelantan,KIJANG,020-005,Menang,10950,63.15981735,14022,96,4,0,0,0,0,0
113,UMNO,CHE ROSLI HASSAN,4034,0,2004,Kelantan,KIJANG,020-005,Kalah,10950,36.84018265,14022,96,4,0,0,0,0,0
