,NEGERI,BAHAGIAN PILIHAN RAYA,NAMA CALON,PARTI,BILANGAN UNDI,STATUS,KOD DAN NAMA PARLIMEN  ,NAMA DUN,JUMLAH UNDI,MAJORITI
109,JOHOR,N. 40 - TIRAM,AZMAN BIN ATMIN,PAS,5366,HILANG DEPOSIT,P.158 - TEBRAU,TIRAM,50414,
110,JOHOR,N. 40 - TIRAM,GOPALAKRISHNAN A/L SUBRAMANIAM,PKR,26573,MENANG,P.158 - TEBRAU,TIRAM,50414,
111,JOHOR,N. 41 - PUTERI WANGSA,ABD AZIZ BIN TOHAK,BN,12586,,P.158 - TEBRAU,PUTERI WANGSA,53445,
112,JOHOR,N. 41 - PUTERI WANGSA,TING CHOON CHAI,BEBAS,116,HILANG DEPOSIT,P.158 - TEBRAU,PUTERI WANGSA,53445,
113,JOHOR,N. 41 - PUTERI WANGSA,LIM YAK HONG,BEBAS,544,HILANG DEPOSIT,P.158 - TEBRAU,PUTERI WANGSA,53445,
114,JOHOR,N. 41 - PUTERI WANGSA,ABDULLAH BIN HUSIN,PAS,2654,HILANG DEPOSIT,P.158 - TEBRAU,PUTERI WANGSA,53445,
115,JOHOR,N. 41 - PUTERI WANGSA,MAZLAN BIN BUJANG,PKR,37545,MENANG,P.158 - TEBRAU,PUTERI WANGSA,53445,
116,JOHOR,N. 42 - JOHOR JAYA,TAN CHER PUK,BN,16777,,P.159 - PASIR GUDANG,JOHOR JAYA,51724,
117,JOHOR,N. 42 - JOHOR JAYA,KUMUTHA A/P RAHMAN,PAS,2605,HILANG DEPOSIT,P.159 - PASIR GUDANG,JOHOR JAYA,51724,
118,JOHOR,N. 42 - JOHOR JAYA,LIOW CAI TUNG,PKR,32342,MENANG,P.159 - PASIR GUDANG,JOHOR JAYA,51724,
119,JOHOR,N. 43 - PERMAS,MOHAMED KHALED BIN NORDIN,BN,20047,,P.159 - PASIR GUDANG,PERMAS,53134,
120,JOHOR,N. 43 - PERMAS,AB. AZIZ BIN ABDULLAH,PAS,4181,HILANG DEPOSIT,P.159 - PASIR GUDANG,PERMAS,53134,
121,JOHOR,N. 43 - PERMAS,ROHANI BINTI YAACOB ,BEBAS,113,HILANG DEPOSIT,P.159 - PASIR GUDANG,PERMAS,53134,
122,JOHOR,N. 43 - PERMAS,CHE ZAKARIA BIN MOHD SALLEH,PKR,28793,MENANG,P.159 - PASIR GUDANG,PERMAS,53134,
